"Sr No
(link to coverage)",Test Written,Coverpoint Written,,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Normative Rules,Notes,Spec,,
,,,,,"It should be understood that for most coverpoints that are based on arithmatic instructions, the coverpoints will check to make sure they're non-trivial, meaning that vl != 0, vstart=0, vill=0, and they do not trap. It may be useful to know that when using vsetvl{i} instructions if rd != x0 and rs1 = x0, vl = vlmax",,,,,,,,,
cvt ins,,,,,,,,,,,,,,
cp_custom_vfncvt_rup_overflow,MANUALLY CHECK SIGNATURE AS IS A SIMPLE MISTAKE TO MAKE,,,Confirm overflow is recognized when narrowing word integer to half-precision FP with round-up mode,"When vfncvt.f.x.w narrows a 32-bit integer (SEW=32) to a 16-bit half-precision float with frm=RUP (round up), the result can exceed the half-precision range. The overflow flag (fflags.OF) must be set.","Execute with SEW=32, frm=3 (RUP), and a source integer large enough to overflow half-precision. After execution, fflags bit 2 (OF) is set",1,,,V_fp_frm; Zvfh_eew16; fflags_op_V_fp; vfncvt_op; vnarrowing_EEW; vnarrowing_EMUL,,"When narrowing from a word integer to a half precision fp number, if the rounding mode is set to ""round up"" the floating point register can overflow, confrim that this is recognized",,
vfmv.f.s,,,,,,,,,,,,,,
cp_custom_f_freg_write_vl0,,tested by cp_vl0,,"Confirm that f-reg writing instructions successfulyl write even when vstart ≥ vl, including when vl=0. ",run instruction with vl = 0,Instruction completes successfully,1,,,vstart_vl_scalar_indp,,"Instructions that write an x register or f register do so even when vstart ≥ vl, including when vl=0.",,
,,Not currently supported,,,"When adding a vector extension to the Zfinx/Zdinx/Zhinx extensions, floating-point scalar arguments are taken from the x registers. NaN-boxing is not supported in these extensions, and so the vector floating-point scalar value is produced using the same rules as for an integer scalar operand (i.e., when XLEN > SEW use the lowest SEW bits, when XLEN < SEW use the sign-extended value).",,,,,,,,,
cp_custom_vfp_register_state_mstatus_dirty,,,,Confrim that any instruction that modifies floating point register state sets mstatus.VS to dirty,"Run a vfmove that sets a floating point register's value and make sure mstatus.vs is clear

This updates the fp register state",Mstatus.VS should be set to dirty,1,,,mstatus-FS_dirty_V_fp; mstatus-vs_op_initial_clean; vfmv-s-f_op,,"Any vector floating-point instruction that modifies any floating-point extension state (i.e., floating-point CSRs or f registers) must set mstatus.FS to Dirty.",,
cp_custom_vfp_csr_state_mstatus_dirty,,,,Confrim that any instruction that modifies floating point csr state sets mstatus.VS to dirty,"Run vfrsqrt7.v vd vs2 with vs2 = 0 with flags and mstatus.vs clear

sets a fp flag

",Mstatus.VS should be set to dirty,1,,,fflags_op_V_fp; mstatus-FS_dirty_V_fp; mstatus-vs_op_initial_clean; vfrsqrt7_op,,"Any vector floating-point instruction that modifies any floating-point extension state (i.e., floating-point CSRs or f registers) must set mstatus.FS to Dirty.",,
,,Should cover sufficient cases with edges,,,The vector floating-point instructions have the same behavior as the scalar floating-point instructions with regard to NaNs.,,,,,,,,,
cp_custom_vfp_flags_set,,,,Confrim that vector fp exceptions set the fp exception flags,Reference fflags_vduon for target test cases as theyre simply coppied over,Flags propperly set,10,,,fflags_op_V_fp,,A vector floating-point exception at any active floating-point element sets the standard FP exception flags in the fflags register. Inactive elements do not set FP exception flags.,,
cp_custom_vfp_flags_inactive_not_set,,,,Confrim an inactive element that would set a flag does not ,"Run vfrsqrt7.v vd vs2 vm with vs2 = 0 and vm[0] = 1 vl = 1 and fflags clear

Element 0 should set the fp flags under normal circumstances, but shouldnt in this case since its inactive

",Flags should not be set,1,,,fflags_op_V_fp; vector_inactive_element; vmask_op,,A vector floating-point exception at any active floating-point element sets the standard FP exception flags in the fflags register. Inactive elements do not set FP exception flags.,,
cp_custom_FpRecSqrtEst_flag_edges,,,,confrim all fp flags are correctly set with regards to recip sqrt estimate instruction,Confrim all edgecases specified in table correctly set flats,Flags set propperly,7,,,fflags_op_V_fp; vfrsqrt7_op,,Vector Floating-Point Reciprocal Square-Root Estimate Instruction: The following table describes the instruction’s behavior for all classes of floating-point inputs:,,
cp_custom_FpRecipEst_flag_edges,,,,confrim all fp flags are correctly set with regards to recip estimate instruction,Confrim all edgecases specified in table correctly set flats,Flags set propperly,14,,,fflags_op_V_fp; vfrec7_op,,Vector Floating-Point Reciprocal Square-Root Estimate Instruction: The following table describes the instruction’s behavior for all classes of floating-point inputs:,,
cp_custom_FpRecSqrtEst_edges,,,,Cornfirm all possible 7 bit inputs match spec,Test all cases and check the result is correct based on spec,all values correct,2^7,,,vfrsqrt7_op,,Vector Floating-Point Reciprocal Square-Root Estimate Instruction: The following table describes the instruction’s behavior for all classes of floating-point inputs: (The output value is independent of the dynamic rounding mode.),,
cp_custom_FpRecipEst_edges,,,,Cornfirm all possible 7 bit inputs match spec,Test all cases and check the result is correct based on spec,all values correct,2^7,,,vfrec7_op,,"Vector Floating-Point Reciprocal Estimate Instruction: The following table describes the instruction’s behavior for all classes of floating-point inputs, where B is the exponent bias:",,
cp_custom_vfp_NaN_input,,,"vmfne writes 1 to the destination element when either operand is NaN, whereas the other compares write 0 when either operand is NaN.",Confrim that nan inputs set the propper flags,Run a standard vector instruction with element 0 qNAN and sNAN,Flags set propperly,2,,,fflags_op_V_fp; vmfeq_sNaN_invalid; vmfne_sNaN_invalid,,vmfeq and vmfne raise the invalid operation exception only on signaling NaN inputs.,"vmfne writes 1 to the destination element when either operand is NaN, whereas the other compares write 0 when either operand is NaN.","vmfne writes 1 to the destination element when either operand is NaN, whereas the other compares write 0 when either operand is NaN."
cp_custom_vfclass_onehot,,,,Confirm all 10 classify cases are correctly handled,Input 1 hot in 10 lsb,correct result,10,,,vfclass_SEWge16; vfclass_op,, Vector Floating-Point Classify Instruction - test all cases,,
,,Covered by rounding mode coverpoint,,,"Single-Width Floating-Point/Integer Type-Convert Instructions: The conversions follow the same rules on exceptional conditions as the scalar conversion instructions. The conversions use the dynamic rounding mode in frm, except for the rtz variants, which round towards zero.",,,,,,,,,
cp_custom_vfncvt_rod_overflow,,,,Verify that vfncvt.rod.f.f.w correctly saturates to the destination format's largest finite value (preserving sign) when the source value is finite but exceeds the representable range of the narrower destination format.,"Run vfncvt.rod.f.f.w a 64-bit double-precision source value that is finite but has a magnitude greater than the largest representable 32-bit single-precision value (~3.4028235 x 10^38)

Do both signs to ensure positive and negative are correct",converted to the largest finite FP32 value with the same sign,2,,,fflags_op_V_fp,,"For vfncvt.rod.f.f.w, a finite value that exceeds the range of the destination format is converted to the destination format’s largest finite value with the same sign.",,
vfredosum,,,,,,,,,,,,,,
cp_custom_vfredosum_ordered_sum,,No way to verify second element is non-zero,,Confirm correct order of summartion by vfredosum,"load maxnorm to vs1 element 0 and negmax norm to vs2 element 0, load a relatively small number to vs2 element 1 by setting lmul 2 during the load to load to subsequent element despite VLEN.

This ensures the order of summation is tested correctly",Sum will be vs2 element 1,1,,,vfredosum_op; vreduction_scalar,,"The vfredosum instruction must sum the floating-point values in element order, starting with the scalar in vs1[0]--that is, it performs the computation: vd[0] = `(((vs1[0] + vs2[0]) + vs2[1]) + ...) + vs2[vl-1]` where each addition operates identically to the scalar floating-point instructions in terms of raising exception flags and generating or propagating special values.",,
"vfwredosum.vs, vfredosum.vs ",,,,,,,,,,,,,,
cp_custom_vfredosum_NAN_vl0,,,vfwredosum.vs handles inactive elements and NaN payloads analogously to vfredosum.vs; vfwredusum.vs does so analogously to vfredusum.vs.,Confirm that if there are no active elements vs1[0] is simply copied over and does not canonicalize nans,"run ins with vl = 0 and vs1[0]] = qnan with all flags clear

This also confirms no flags are set in the process",Exact copy over of register,1,,,fflags_op_V_fp; vfredosum_op,,"""above"" If no elements are active, no additions are performed, so the scalar in vs1[0] is simply copied to the destination register, without canonicalizing NaN values and without setting any exception flags. This behavior preserves the handling of NaNs, exceptions, and rounding when autovectorizing a scalar summation loop.",vfwredosum.vs handles inactive elements and NaN payloads analogously to vfredosum.vs; vfwredusum.vs does so analogously to vfredusum.vs.,vfwredosum.vs handles inactive elements and NaN payloads analogously to vfredosum.vs; vfwredusum.vs does so analogously to vfredusum.vs.
,,Very hard to test,,,"Vector Unordered Single-Width Floating-Point Sum Reduction: see ""The unordered sum reduction instruction, vfredusum, provides an implementation more freedom in performing the reduction.""",,,,,,,,,
vfmv.s.f,,,,,,,,,,,,,,
cp_custom_fmv_sf_vd_all_lmul,,,,Confirm instruction ignores lmul,crosses all 32 vd register values × all 7 LMUL settings × std_vec,No trap,224,,,vfmv-s-f_ignoreLMUL; vreg_scalar_lmul_indp,,The floating-point scalar read/write instructions transfer a single value between a scalar f register and element 0 of a vector register. The instructions ignore LMUL and vector register groups.,,
vfmv.f.s,,,,,,,,,,,,,,
cp_custom_fmv_fs_vs2_all_lmul,,,,Confirm instruction ignores lmul,crosses all 32 vs2 register values × all 7 LMUL settings × std_vec,No trap,224,,,vfmv-f-s_ignoreLMUL; vfmv-s-f_ignoreLMUL; vreg_count; vreg_scalar_lmul_indp,,The floating-point scalar read/write instructions transfer a single value between a scalar f register and element 0 of a vector register. The instructions ignore LMUL and vector register groups.,,
,,covered by cp_vl_0,,,vfmv.f.s performs its operation even if vstart ≥ vl or vl=0.,,,,,,,,,
,,covered by cp_vl_0,,,"vfmv.s.f: If vstart ≥ vl, no operation is performed and the destination register is not updated.",,,,,,,,,
,,covered by cp_vl_0,,,"For vfslide1up, and vfslide1down instructions, if vstart ≥ vl, the instruction performs no operation and leaves the destination vector register unchanged.",,,,,,,,,
