"Sr No
(link to coverage)",Test Written,Coverpoint Written,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,,Normative Rules,Notes,Spec,Spec,
All whole register load and store instructions,,,,,,,,,,,,,,
cp_custom_vwholeRegLS_vill,,,Check that whole register loads and stores are not affected by the vill bit,"Set vtype.vill = 1 and run a whole register load/store instruction with vstart = 0 and vl != 0

Normally all tests should be non-trivial (vill=0, vstart = 0 and vl != 0) but since vill = 1 for this test, we specify vstart=0 and vl != 0",Expect that the vector is still loaded despite vill being set,1,,,,,,whole register loads and stores do not depend upon vtype,,
cp_custom_vwholeRegLS_lmul,,,Check that whole register loads and stores are not affected by lmul,"Cross all integer values of vtype.lmul={1/2/4/8} with a vector whole register load/store with vl = vlmax

Since these instructions shoulnt be affected by vtype, we run all integer (always legal) values of lmul with vl=vlmax to confirm it still only loads nf registers (since nf specifies the number of registers). This also confirms whole register loads with nf = 8 while lmul = 8 run.",Expect that loads and stores are independent of the value of vtype.lmul (number of registers is specified by nf),"4 lmul options {1,2,4,8}",,,,,,whole register loads and stores do not depend upon vtype,,
Unit stride mask loads/stores,,,,,,,,,,,,,,
cp_custom_maskLS_emul_ge_16,,,"Confirm that since EEW=8 for these instructions, if EEW/SEW * LMUL >= 16 that the instruction still executes as EMUL should be 1","Running a mask load/store, cross all sew = {16,32,64} with all lmul = {2/4/8}

This hits all possible cases of EEW/SEW * LMUL >= 16 since EEW=8",We expect these functions to load masks propperly,3 sew bins * 3 lmul bins,,,,,,"Additional unit-stride mask load and store instructions are provided to transfer mask values to/from memory. These operate similarly to unmasked byte loads or stores (EEW=8), except that the effective vector length is evl=ceil(vl/8) (i.e. EMUL=1",,
cp_custom_maskLS_tail_no_exception,,,"Confrim that if an instruction has all its active elements masked, and has tail elements, that none of these elements raise exceptions","Run all vector loads with lmul = 2, vl = 1, vm = 1 and v0 = 1 with rs1 = 0
Loading from address 0 should cause an exception but we make sure the only active element is masked by setting v0 to 1, Lmul = 2 ensures there are tail elements",Instruction shouldnt trap and has no effect on registers outside of agnostic,1,,,,,,"The tail elements during a vector instruction’s execution are the elements past the current vector length setting specified in vl. The tail elements do not raise exceptions, and do not update any destination vector register group unless tail agnostic is specified (vtype.vta=1), in which case tail elements may be overwritten with 1s, or with the result of the instruction in the case of mask-producing instructions except for mask loads. ",Element operations that are masked off (inactive) never generate exceptions.,
cp_custom_maskLS_prestart_no_exception,,cannot be tested (non-zero vstart doesnt have to be supported) (also a different than 0 needs to be used as base),"Confrim that if an instruction has all its active elements masked except element zero, and vstart = 1, that none of these elements raise exceptions","Run all vector loads with lmul = 2, vstart = 1, vm = 1, vl = 2 and v0 = 2 with rs1 = 0
Loading from address 0 should cause an exception, vstart is set to 1 and vl set to 2 to ensure the instruction executes (if allowing for vstart = 1) and we set v0 to 2 to make sure an exception isnt caused by the active element",Instruction could trap due to vstart != 0 but otherwise should not trap and also have no effect on registers outside of agnostic,1,,,,,,"The prestart elements are those whose element index is less than the initial value in the vstart register. The prestart elements do not raise exceptions and do not update the destination vector register. Same with masked, and tail elements",,
Indexed instructions,,,,,,,,,,,,,,
cp_custom_ls_indexed_zero_extended_sew{8/16},,,Confrim that vector indexed instructions zero extend rather than sign extend address opperands when less than XLEN`,"Load a base address to rs1 where address + 2^16 bytes is valid (also consider address -1 as its failure case) as this is the expected element to be loaded. Make make vector element 0 all ones for SEW = {8/16}.

This test should ensure the element is treated as an unsigned, zero-extended value.",Expect value at base + 2^16 to be loaded rather than that of base - 1 confirming the number is treated as unsigned and zero extended,2,,,,,,"If the vector offset elements are narrower than XLEN, they are zero-extended to XLEN before adding to the base effective address. If the vector offset elements are wider than XLEN, the least-significant XLEN bits are used in the address calculation.",,
***XLEN = 32 ONLY***,,,,,,,,,,,,,,
cp_custom_ls_indexed_truncated,,,Confirm that vector indexed instructions propperly truncate the address in vs2 before adding to the base address,"For SEW = 64, load ones to the top 32 bits and zeros to the bottom 32 bits and conduct a standard vector load",Expect the base address to be loaded since the top bits should be truncated,1,,,,,,"If the vector offset elements are narrower than XLEN, they are zero-extended to XLEN before adding to the base effective address. If the vector offset elements are wider than XLEN, the least-significant XLEN bits are used in the address calculation.",,
,,Decided that this cannot be reasonably tested for elements SEW 32 or greater as a test of zero extending would mean creating legal addresses 2^31 bytes from the base address ,,"If the vector offset elements are narrower than XLEN, they are zero-extended to XLEN before adding to the base effective address. If the vector offset elements are wider than XLEN, the least-significant XLEN bits are used in the address calculation.",,,,,,,,,,
,,Checked by generated instructions,,Test every instruction with all sew supported to confirm EEW is effective,,,,,,,,,,
,,Checked by generated instructions,,vector load and store Negative and zero strides are supported,,,,,,,,,,
