coverpoint,category,status,coverage_pct,uncovered_bins,hint
cp_custom_vfncvt_rup_overflow,Vf,complete,100,,
cp_custom_FpRecSqrtEst_edges,Vf,complete,100,,Script fixed: was using even exponent only; now covers both even/odd for full 128-entry lookup table
cp_custom_FpRecipEst_edges,Vf,complete,100,,Works correctly out of the box
cp_custom_vfclass_onehot,Vf,complete,100,,Works correctly out of the box
cp_custom_vfncvt_rod_overflow,Vf,complete,100,,Template fixed: get_vr_element_zero extracts at output SEW not source 2*SEW; changed to ins.current.vs2_val[63:0]
cp_custom_vfredosum_ordered_sum,Vf,complete,100,,Works correctly out of the box
cp_custom_FpRecSqrtEst_flag_edges,Vf,complete,100,,Fixed: spacer tests after flag-setting vfrsqrt7 to clear stale fcsr (RVVI fsflagsi alias bug)
cp_custom_FpRecipEst_flag_edges,Vf,complete,100,,Fixed: spacer tests after flag-setting vfrec7 to clear stale fcsr (RVVI fsflagsi alias bug)
cp_custom_vfp_state,Vf,complete,100,,rv64: 100% all EFFEWs. rv32: VfCustom16/32=100% VfCustom64=0% (sd/fld needs zilsd). Template simplified.
cp_custom_vfredosum_NAN_vl0,Vf,partial,87.5,,vfredosum.vs=100%. vfwredosum.vs=87.5% — template get_vr_element_zero extracts at SEW but vs1 is at 2*SEW for widened variant
cp_custom_vfp_flags,Vf,partial,30-68,,Ran successfully on sail. Per-instruction coverage 30-68%. Many at 0% (vfclass/vfmerge/vmf*/vfsgnj/vfslide/vfreduce). Needs more flag-transition tests.
cp_custom_vfp_NaN_input,Vf,untested,n/a,,101 instructions; too slow for sail coverage
cp_custom_fmv_sf_vd_all_lmul,Vf,blocked,85.46,cross 93/128 bins missing,Sail times out even with SIGUPD_COUNT=100. Needs RTL sim only.
cp_custom_fmv_fs_vs2_all_lmul,Vf,blocked,85.46,cross 93/128 bins missing,Sail times out even with SIGUPD_COUNT=100. Needs RTL sim only.
cp_custom_maskLS,Vls,complete,100,,Fixed: removed sew>xlen guard; SIGUPD_COUNT=5000. VlsCustom8=0% is inherent (SEW>8 required).
cp_custom_vwholeRegLS_vill,Vls,partial,66.66,,VlsCustom8=100%; VlsCustom16/32/64=66.66% — coverage framework bug with vill evaluation
cp_custom_vwholeRegLS_lmul,Vls,complete,100,,Fixed: removed sew>xlen guard; SIGUPD_COUNT=5000
cp_custom_ffLS_update_vl,Vls,blocked,n/a,,Same issue; 32 instructions
cp_custom_ls_indexed,Vls,blocked,n/a,,Same issue; 128 instructions
cp_custom_indexed_emul_data_only,Vls,blocked,n/a,,Same issue; 128 instructions
cp_custom_masked_v0_operand,Vls,blocked,n/a,,Same issue; 288 instructions
