"Sr No
(link to coverage)",Test Written,Coverpoint Written,,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Normative Rules,Notes,Spec,,,,
,,,,,"It should be understood that for most coverpoints that are based on arithmatic instructions, the coverpoints will check to make sure they're non-trivial, meaning that vl != 0, vstart=0, vill=0, and they do not trap. It may be useful to know that when using vsetvl{i} instructions if rd != x0 and rs1 = x0, vl = vlmax",,,,,,,,,,,
All mask-writing arithmetic instructions,,,,,,,,,,,,,,,,
cp_custom_vmask_write_lmulge1,,,v,"Check that a mask write instruction will only modify the target mask register (vd, not necessarilly v0) even though the lmul value is greater than one","With vl set to vlmax and lmul = {1/2/4/8}, conduct a mask arithmatic operation.

Using vlmax and all values of lmul checks that even in the most extreme case, the mask write opperation never writes to more than one vector register, as with mask operations EEW = 1.",Expect only the target mask register (vd) is modified,"4 lmul bins (1,2,4,8)",,,,,"Mask registers are always contained in a single vector register, regardless of LMUL.",,,,
cp_custom_vmask_write_v0_masked,,,v,Confirm that v0 can be written and doesnt raise an exception for mask arithmatic when mask is active,"Conduct a mask arithmetic operation with vd = v0 and vm active

This ensures v0 can still be written even when used as a mask",Expect v0 should still be updated and no exception thrown,1,,,,"exclude vmadc.v*, vmsbc.v*, and .mm instructions

exclude vmsbf/vmsif/vmsof because the spec says their vd cannot be v0 when masked","The destination vector register group for a masked vector instruction cannot overlap the source mask register (v0), unless the destination vector register is being written with a mask value (e.g., compares) or the scalar result of a reduction.",,,,
"All reduction operations, vmv.s.x, vmv.x.s",,,,,,,,,,,,,,,,
cp_custom_voffgroup_vd_lmul2,,,v,Confirm that destination registers can be written off group when accessed as a scalar value (just element 0),"With lmul of 2, conduct an operation with vs1 and vs2 on group, and vd with all off-group registers

This isolates the only off group element as vd, and tests all possible situations where vd could be off group.",All registers should be written with the scalar value despite not lining up with lmul values,"16 for all possible vd registers (1,3,5...)",,,,,Reduction operations: Any vector register can be used to hold a scalar regardless of the current LMUL setting,The integer scalar read/write instructions transfer a single value between a scalar x register and element 0 of a vector register. The instructions ignore LMUL and vector register groups.,,,
cp_custom_voffgroup_vs1/vs2_lmul2,,should be vs2 for vmv.x.s (and should not cross with vs1) add another column?,v,Confirm that vs1 can be accessed off group when accessed as a scalar value (just element 0),"With lmul of 2, conduct an operation with vd and vs2 on group, and vs1 with all off-group registers

This isolates the only off group element as vs1, and tests all possible situations where vs1 could be off group.",All registers should be accessed correctly and treated as scalar elements despite being off group,"16 for all possible vs1 registers (1,3,5...)",,,,,Reduction operations: Any vector register can be used to hold a scalar regardless of the current LMUL setting,The integer scalar read/write instructions transfer a single value between a scalar x register and element 0 of a vector register. The instructions ignore LMUL and vector register groups.,,,
cp_custom_voffgroup_vd_lmul4,,,v,Confirm that desination registers can be written off group when accessed as a scalar value (just element 0),"With lmul of 4, conduct an operation with vs1 and vs2 on group, and vd with all off-group registers

This isolates the only off group element as vd, and tests all possible situations where vd could be off group.",All registers should be written with the scalar value despite not lining up with lmul values,"24 for all possible vd registers (1,2,3,5...)",,,,,Reduction operations: Any vector register can be used to hold a scalar regardless of the current LMUL setting,The integer scalar read/write instructions transfer a single value between a scalar x register and element 0 of a vector register. The instructions ignore LMUL and vector register groups.,,,
cp_custom_voffgroup_vs1_lmul4,,,v,Confirm that vs1 can be accessed off group when accessed as a scalar value (just element 0),"With lmul of 4, conduct an operation with vd and vs2 on group, and vs1 with all off-group registers

This isolates the only off group element as vs1, and tests all possible situations where vs1 could be off group.",All registers should be accessed correctly and treated as scalar elements despite being off group,"24 for all possible vs1 registers (1,2,3,5...)",,,,,Reduction operations: Any vector register can be used to hold a scalar regardless of the current LMUL setting,The integer scalar read/write instructions transfer a single value between a scalar x register and element 0 of a vector register. The instructions ignore LMUL and vector register groups.,,,
cp_custom_voffgroup_vd_lmul8,,,v,Confirm that desination registers can be written off group when accessed as a scalar value (just element 0),"With lmul of 8, conduct an operation with vs1 and vs2 on group, and vd with all off-group registers

This isolates the only off group element as vd, and tests all possible situations where vd could be off group.",All registers should be written with the scalar value despite not lining up with lmul values,"28 for all possible vd registers (1,2,3,4,5,6,7,9...)",,,,,Reduction operations: Any vector register can be used to hold a scalar regardless of the current LMUL setting,The integer scalar read/write instructions transfer a single value between a scalar x register and element 0 of a vector register. The instructions ignore LMUL and vector register groups.,,,
